,ImageName,app1,app2,Advantra,MOST,EnsembleNeuronTracerBasic,meanshift,TreMap,MST_Tracing,EnsembleNeuronTracerV2n,spanningtree,axis_analyzer,Rayshooting,smartTracing,simple,EnsembleNeuronTracerV2s
94,E:\result\080926a.tif.v3dpbd\gold\1074_1140_27_gold.tiff,-1,-1,-1,0.425244177310293,-1.0,-1.0,-1,-1.0,0.12031153924984628,-1,-1.0,0.0,-1.0,-1.0,0.061573093220338986
95,E:\result\080926a.tif.v3dpbd\gold\1082_1565_27_gold.tiff,-1,-1,-1,0.36562203228869894,-1.0,-1.0,-1,-1.0,0.16616052060737527,-1,-1.0,0.0,-1.0,-1.0,0.10036963321012227
96,E:\result\080926a.tif.v3dpbd\gold\1083_1437_27_gold.tiff,-1,-1,-1,0.23125996810207336,-1.0,-1.0,-1,-1.0,0.18445772843723313,-1,-1.0,0.0,-1.0,-1.0,0.07566902491541064
97,E:\result\080926a.tif.v3dpbd\gold\1086_1531_27_gold.tiff,-1,-1,-1,0.2936046511627907,-1.0,-1.0,-1,-1.0,0.12985212569316082,-1,-1.0,0.0,-1.0,-1.0,0.10132523467697405
98,E:\result\080926a.tif.v3dpbd\gold\1087_1809_27_gold.tiff,-1,-1,-1,0.2850877192982456,-1.0,-1.0,-1,-1.0,0.3746898263027295,-1,-1.0,0.0,-1.0,-1.0,0.2385856505320975
99,E:\result\080926a.tif.v3dpbd\gold\1087_1817_27_gold.tiff,-1,-1,-1,0.23243243243243245,-1.0,-1.0,-1,-1.0,0.4019709543568465,-1,-1.0,0.0,-1.0,-1.0,0.24270511500171643
100,E:\result\080926a.tif.v3dpbd\gold\1087_1844_27_gold.tiff,-1,-1,-1,0.0,-1.0,-1.0,-1,-1.0,0.43096476025418834,-1,-1.0,0.0,-1.0,-1.0,0.24929078014184397
101,E:\result\080926a.tif.v3dpbd\gold\1088_1303_27_gold.tiff,-1,-1,-1,0.307475317348378,-1.0,-1.0,-1,-1.0,0.114950634696756,-1,-1.0,0.0,-1.0,-1.0,0.09947643979057591
102,E:\result\080926a.tif.v3dpbd\gold\1092_469_27_gold.tiff,-1,-1,-1,0.41361256544502617,-1.0,-1.0,-1,-1.0,0.0,-1,-1.0,0.0,-1.0,-1.0,0.14609286523216308
103,E:\result\080926a.tif.v3dpbd\gold\1099_550_27_gold.tiff,-1,-1,-1,0.34199726402188785,-1.0,-1.0,-1,-1.0,0.2891674127126231,-1,-1.0,0.0,-1.0,-1.0,0.22072072072072071
